0,1,2,3,4,5,6,7,8,9,10,Timestamp,Cumulative_Time
0.37890625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:01.703125000,-238.296875
0.3984375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:02.101562500,-237.8984375
0.44140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:02.542968750,-237.45703125
0.4609375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:03.003906250,-236.99609375
0.50390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:03.507812500,-236.4921875
0.5234375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:04.031250000,-235.96875
0.56640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:04.597656250,-235.40234375
0.5859375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:05.183593750,-234.81640625
1.00390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:06.187500000,-233.8125
1.0234375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:07.210937500,-232.7890625
1.06640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:08.277343750,-231.72265625
1.0859375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:09.363281250,-230.63671875
1.12890625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:10.492187500,-229.5078125
1.1484375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:11.640625000,-228.359375
1.19140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:12.832031250,-227.16796875
1.2109375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:14.042968750,-225.95703125
1.25390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:15.296875000,-224.703125
1.2734375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:16.570312500,-223.4296875
1.31640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:17.886718750,-222.11328125
1.3359375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:19.222656250,-220.77734375
1.37890625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:20.601562500,-219.3984375
1.3984375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:22.000000000,-218.0
1.44140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:23.441406250,-216.55859375
1.4609375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:24.902343750,-215.09765625
1.50390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:26.406250000,-213.59375
1.5234375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:27.929687500,-212.0703125
1.56640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:29.496093750,-210.50390625
1.5859375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:31.082031250,-208.91796875
2.00390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:33.085937500,-206.9140625
2.0234375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:35.109375000,-204.890625
2.06640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:37.175781250,-202.82421875
2.0859375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:39.261718750,-200.73828125
2.12890625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:41.390625000,-198.609375
2.1484375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:43.539062500,-196.4609375
2.19140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:45.730468750,-194.26953125
2.2109375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:47.941406250,-192.05859375
2.25390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:50.195312500,-189.8046875
2.2734375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:52.468750000,-187.53125
2.31640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:54.785156250,-185.21484375
2.3359375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:57.121093750,-182.87890625
2.37890625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:59.500000000,-180.5
2.3984375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:01.898437500,-178.1015625
2.44140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:04.339843750,-175.66015625
2.4609375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:06.800781250,-173.19921875
2.50390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:09.304687500,-170.6953125
2.5234375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:11.828125000,-168.171875
2.56640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:14.394531250,-165.60546875
2.5859375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:16.980468750,-163.01953125
3.00390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:19.984375000,-160.015625
3.0234375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:23.007812500,-156.9921875
3.06640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:26.074218750,-153.92578125
3.0859375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:29.160156250,-150.83984375
3.12890625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:57:32.289062500,-147.7109375
